1,Cantik sekali pemandangan alamnya!
1,"Pemandangan indah, latar belakang telaga warna, bisa liat kawah juga kalau dari atas"
1,"Pemandangan sangat indah, view telaga warna dan telaga pengilon, selain itu juga bisa terlihat kawah sikidang. Kebetulan datang saat sedang cerah jadi sangat cantik sekali"
1,spot foto dengan pemandangan dua danau yg cantik dr parkiran kita hrus berjalan kaki menuju spot2 fto disana kita juga bs makna kuliner khas wonosobo tempe kemul dll
1,"Pemandangannya bagus, datang di bulan agustus sekitar jam 10 pagi, jalan naik tdk sampai 30menit, melewati ladang."
1,Bagus banget view nya...
1,"Salah satu destinasi wisata di Dieng yang banyak dikunjungin orang-orang. Seperti di foto yang ada di mana-mana, panorama di tempat ini indah dan sejuk. Di sini banyak warung makan dan tempat oleh-oleh juga buat yang mau beli. Tiket masuknya jiga terjangkau tapi lupa dulu harganya berapaa"
0,"Tempat oke, tapi kalau kesini jangan weekend, soalnya bakal antri dispot ini, ada beberapa spot yang berbayar"
1,"spot fotonya lumayan banyak, keren banget deh tempatnya, kuatin kaki aja buat nanjak hihi,,tempatnya juga bersih, banyak tempat-tempat estetik buat dijadikan spot foto"
1,"Lokasi di dataran tinggi dieng, prioritas adalah lanskap dan pemandangan yang mempesona, latar belakang telaga warna, karcis masuk dan parkir murah meriah"
1,Pemandangan sangat indah dengan telaga warna serta penataan kebunnya. Lebih lebih cuaca sangat dingin. Sangat direkomendasikan untuk datang ketempat ini menghilangkan stress apalagi masa pandemi ini. Tapi ingat untuk tetap mematuhi protokol kesehatan
1,"Bagus sekali view Batu Pandang Ratap Angin, luar biasa, juara...wonderfull Indonesia...."
0,Rekomendasi ke sana saat weekday supaya tidak terlalu ramai dan antri.Tiket per orang 15.000 rupiah.Terdapat toilet namun kurang terawat dan terjaga kebersihannya.Untuk parkir roda 2 hanya 3.000 rupiah.
1,"Tempat dg view yg bagus, bersih & keren deh pokoknya."
1,Pemandangan yang super amazing disajikan disini. Naik dari parkiran ke atas ga jauh dan banyak spot foto Disni. Tiket 10k
0,"Pas ke sini masih masa pandemik termasuk sepi, dan beberapa tempat itu masih ditutup. Untuk sampai naik ke atas sebentar saja, 5 menit dari parkiran. Karena kalo dari dieng ke sini, sebentar 15 menit udah nanjak pakai kendaraan. …"
1,"View bagus kebersihan baik, ga bakal kecewa"
0,"Banyak Lokasi foto spot dari ketinggian yg baru dibuat dan harus menaiki beberapa anak tangga, HTM 15rb/orang, namun sekarang ini banyak kios pedagang didalam lokasi yg cukup mengganggu keindahan."
1,Wisata yg satu ini sangat indah..
0,"View ya bagus Perbukitan hijau, telaga warna dan telaga pengilon. Untuk htm terjangkau. Untuk menu makanan disana kurang begitu enak dan harganya cukup mahal."
1,Spot foto cakep terutama foto ke arah telaga warna. Bersih dan terawat. Petugas ramah
0,Tempatnya bagus tp ada bbrp tangga yg kalo mau naik kesana harus bayar lagi
0,Lumayan Bagus viewnya. Tp biaya masuknya terbilang cukup mahal ya ceu.
0,Bagus cuma kurang terawat
0,Harus lebih bersih yaaa next nya
0,akses bagus. view juara. hanya tempat parkir yg berharap lbh bisa dirapikan.. kamar mandi juga bbrp kurang bersih bau tak sedap. tiket 10.000 untuk lokal harusnya bisa untuk perawatan lebih baik lagi.
0,"Kecewa dengan pedagang ibu2 yg ada di loket tempat parkir yg di atas, bukan petugas tp ngaku2 petugas dan ngomong nya nyolot.. Di toilet cuma mau ganti pampers anak tetep ngitung orang.. …"
0,"Indah banget pemandangan, untung di weekdays jadi gk terlalu rame. Sayang sih, banyak pengunjung yg blum sadar akan  lingkungan, sampah berserakan padahal ada banyak tong sampah, emang yg buang sampah itu orang sampah."
0,sangat asik dgn pesona alam yang indah pengunjung dan pedagang lebih koreksi sampah
0,Parkir kurang luas. Tiket 10k.
